Channels,Name,Function,Range/Arg1,Res/Arg2,NPLC,Channel Delay (Seconds),Scale,Function,Gain (M),Offset (B),Label,Test,Low,High,Delta,After N,Alarm,,,,,,,,,,,,,,,,,,,,,,,
Calibration Date/Time:,23-10-2019 12:59:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Temperature:,"31,34 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto Calibration ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAL Date/Time:,23-10-2019 12:45:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAL Temperature:,"31,34 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Sweep Time (Sec),Scan Number,101 (°C)- T1,102 (°C)- T2,103 (°C)- T3,104 (°C)- T4,105 (°C)- T5,106 (°C)- T6,107 (°C)- T7,108 (°C)- T8,109 (°C)- T9,110 (°C)- T10,111 (Vdc)- V_aire,112 (Vdc)- Flux_1,113 (Vdc)- Flux_2,115 (°C)- T_pared1,116 (Vdc)- T_aire,118 (°C)- T_ext1,119 (°C)- T_pared2,120 (°C)- T_ext2,121 (Adc)- P_diff,201 (°C)- T11,202 (°C)- T12,203 (°C)- T13,204 (°C)- T14,205 (°C)- T15,206 (°C)- T16,207 (°C)- T17,208 (°C)- T18,209 (°C)- T19,210 (°C)- T20,211 (°C)- T21,212 (°C)- T22,213 (°C)- T23,214 (°C)- T24,215 (°C)- T25,216 (°C)- T26,217 (°C)- T27,218 (°C)- T28,219 (°C)- T29,220 (°C)- T30
2024-12-27 09:30:20.456,1,22.9677149,23.3210817,23.3611836,23.3476341,23.3750838,24.0597135,24.2352708,24.5416787,24.6610078,25.3722499,0.1913437,-1.41515E-06,-1.19697E-06,25.0178192,0.043059417,9.9E+37,25.4199306,21.9058276,0.004383195,25.754572,25.672994,25.2845973,23.5913513,23.5429469,23.6486457,23.8945453,25.9465778,26.1062358,26.024935,25.6155584,23.5292516,23.4945664,23.5770823,23.7048831,24.3670489,24.5708038,24.8066327,24.7971315,25.299619
2024-12-27 09:30:30.460,2,22.9598924,23.3094078,23.3590134,23.3649876,23.3999163,24.0608104,24.2290427,24.5589032,24.6639347,25.3812072,0.193772774,-3.25302E-06,-2.01236E-06,25.0199354,0.042828248,21.263234,25.4067815,21.9309578,0.004449282,25.7574997,25.6750002,25.2817223,23.5808999,23.5583895,23.652702,23.8843343,25.9318058,26.1056707,26.024645,25.6115973,23.5436233,23.5267922,23.5750143,23.721067,24.3832226,24.582715,24.7985332,24.7941509,25.3071641
